№	УИК	Страна	Город	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Даванков Владислав Андреевич	Даванков Владислав Андреевич (%)	Путин Владимир Владимирович	Путин Владимир Владимирович (%)	Слуцкий Леонид Эдуардович	Слуцкий Леонид Эдуардович (%)	Харитонов Николай Михайлович	Харитонов Николай Михайлович (%)
197	8286	Тунис	Тунис	298	650	0	298	0	352	0	298	5	293	0	0	19	6,38	265	88,93	3	1,01	6	2,01
198	8287	Туркменистан	Дашогуз	105	300	0	105	0	195	0	105	2	103	0	0	0	0	103	98,1	0	0	0	0
199	8288	Туркменистан	Мары	164	300	0	164	0	136	0	164	0	164	0	0	2	1,22	161	98,17	0	0	1	0,61
200	8289	Венгрия	Будапешт	1815	3600	164	1650	1	1785	165	1650	236	1579	0	0	783	43,14	712	39,23	43	2,37	41	2,26
201	8290	Туркменистан	Туркменабад	240	400	0	240	0	160	0	240	1	239	0	0	0	0	237	98,75	1	0,42	1	0,42
202	8291	Туркменистан	Туркменбаши	397	800	0	397	0	403	0	397	6	391	0	0	4	1,01	377	94,96	3	0,76	7	1,76
203	8292	Турция	Анкара	8405	10600	7695	710	0	2195	7681	710	516	7875	0	0	1445	17,22	5675	67,63	402	4,79	353	4,21
204	8293	Турция	Трабзон	350	400	0	350	0	50	0	349	33	316	0	0	225	64,47	85	24,36	2	0,57	4	1,15
205	8294	Турция	Анталья	3129	5000	557	2153	0	2290	557	2153	322	2388	0	0	928	34,24	1342	49,52	68	2,51	50	1,85
206		Турция	Стамбул	3468	4000	537	2443	0	1020	537	2431	312	2656	0	0	1216	40,97	1330	44,81	54	1,82	56	1,89
207	8296	Уганда и Южный Судан	Кампала	85	350	0	85	0	265	0	85	0	85	0	0	9	10,59	66	77,65	4	4,71	6	7,06
208	8297	Узбекистан	Ташкент	4145	40000	0	4144	1	35855	1	4144	297	3848	0	0	1323	31,92	2402	57,95	56	1,35	67	1,62
